Weight,Length,Width,Thickness,Name
3.6,42.8,15.8,5.8,Darl
4.5,40.5,17.4,5.8,Darl
3.6,37.5,16.3,6.1,Darl
4,40.3,16.1,6.3,Darl
2.3,30.6,17.1,4,Darl
3,41.8,16.8,4.1,Darl
3.9,40.3,20.7,5.9,Darl
6.2,48.5,18.7,6.9,Darl
5.1,47.7,17.5,7.2,Darl
2.8,33.6,15.8,5.1,Darl
2.5,32.4,14.5,5.2,Darl
4.8,42.2,14.6,6.6,Darl
3.2,33.5,16.6,4.9,Darl
3.8,41.8,16.7,5.1,Darl
4.5,38,16.5,5.4,Darl
4.4,35.5,16.3,5.5,Darl
2.5,31.2,15.6,5.1,Darl
2.3,34.5,15.9,4.8,Darl
4.2,33.1,17.4,7,Darl
3.3,32,16,5.4,Darl
3.6,38.1,19.8,5.2,Darl
7.4,47.6,20.3,8.1,Darl
5.6,42.3,19.2,7.7,Darl
4.8,38.3,20.4,7.2,Darl
7.8,50.6,20.3,6.8,Darl
9.2,54.2,21,8,Darl
6.2,44.2,23.3,7.2,Darl
4.3,40,18.2,6.3,Darl
4.6,43.5,20.1,6,Ensor
5.4,42.1,20.8,6.4,Ensor
5.9,42.1,25.1,5.9,Ensor
5.1,43.1,20,5.8,Ensor
4.7,37.5,21.8,6.2,Ensor
7.2,55.2,22.5,7,Ensor
2.5,38,17.5,5,Ensor
3.9,42.5,18.6,6.3,Ensor
4.1,34.9,21.4,7,Ensor
7.2,48.5,27.3,7.8,Ensor
10.7,53.5,27.8,7.2,Pedernales
12.5,66,27.2,8,Pedernales
13.4,64.5,28.5,8.2,Pedernales
11.1,59,22.8,9.1,Pedernales
7.2,60,27.9,10,Pedernales
28.8,109.5,49.3,7.5,Pedernales
13.9,59.8,31.7,10.7,Pedernales
9.4,52.8,25.3,7.1,Pedernales
5.3,43.7,21,6.8,Pedernales
7.9,43.2,23.1,8,Pedernales
7.3,49,24.4,7.6,Pedernales
12.2,55.3,27.3,9.5,Pedernales
9.3,84,21.2,10.2,Pedernales
11.1,48,26.9,8.9,Pedernales
14.8,78.3,28.1,8.5,Pedernales
10.7,57.2,26.9,7.6,Pedernales
11.1,52,29.6,9.8,Pedernales
12.3,61.1,25.2,8,Pedernales
13.1,70.4,30.4,6.6,Pedernales
6.1,48.1,20.9,7.6,Pedernales
9.2,46.4,24.3,8.7,Pedernales
9.4,56.2,22.6,8.5,Pedernales
6.7,47.1,20.9,7.5,Pedernales
15.3,67.2,27.1,10.2,Pedernales
15.1,64.1,27.2,10.2,Pedernales
4.6,65,31.6,10.1,Pedernales
4.3,35.4,18.5,6.4,Pedernales
11.6,61.3,28.1,7.1,Pedernales
10.5,55,22,9.1,Pedernales
6.8,45.2,22.8,7.2,Pedernales
9.1,44.8,26.8,7.8,Pedernales
9.4,49.1,25.8,8.2,Pedernales
9.5,56.5,21.1,8.1,Travis
10.4,54.6,22.4,8.7,Travis
7.5,46.3,21.3,7.1,Travis
8.7,57.6,18.9,8.8,Travis
6.9,49.1,21.4,7,Travis
15,64.6,21.5,9.6,Travis
11.4,69,20.9,7.8,Travis
6.3,40.1,18.4,9.3,Travis
7.5,41.5,19.2,8.8,Travis
5.9,46.3,17.9,8.3,Travis
5.4,39.6,21.5,6.4,Travis
9.5,53.1,29.6,7.6,Wells
5.4,41.2,19.7,6.5,Wells
7.1,45,22.6,8.1,Wells
9.7,54.2,26,8.7,Wells
12.6,65.4,25.1,8.6,Wells
10.5,58.9,24.4,8.8,Wells
5.6,55.4,19.3,5.3,Wells
4.9,45.8,18.9,6.5,Wells
5.2,49.1,21.1,6.3,Wells
16.3,63.1,24.7,5.4,Wells
